Source;Target;verbindungenProTag;relativeAnzahlVerspaeteteAbfahrt;relativeAnzahlVerspaeteteAnkunft;durchschnittlicheAbfahrtsverspaetung;durchschnittlicheAnkunftsverspaetung;durchschnittlicheAbfahrtsverspaetungNurVerspaetete;durchschnittlicheAnkunftsverspaetungNurVerspaetete
0;1;17;0.0;0.0;0;0;0;0
0;5;70;0.7;0.4;221;108;316;270
1;0;17;0.7058823529411765;0.5882352941176471;83;82;118;140
1;6;18;0.8333333333333334;0.7777777777777778;331;342;397;440
1;184;93;0.5268817204301075;0.0;42;0;80;0
1;218;17;0.6470588235294118;0.0;40;0;63;0
1;996;47;0.3829787234042553;0.0;38;0;99;0
1;1351;38;0.42105263157894735;0.0;20;0;48;0
2;40;28;0.8928571428571429;0.5714285714285714;149;86;167;150
2;511;19;0.8421052631578947;0.3157894736842105;78;7;93;23
2;1314;20;0.45;0.0;34;0;77;0
2;1315;20;0.45;0.25;32;7;73;28
3;111;3;0.3333333333333333;0.6666666666666666;76;355;228;532
3;509;19;0.6842105263157895;0.3157894736842105;60;20;88;64
3;510;19;0.8421052631578947;0.21052631578947367;47;10;56;50
3;735;57;0.7017543859649122;0.3684210526315789;45;18;65;50
3;1311;40;0.75;0.425;61;37;82;87
4;94;7;0.7142857142857143;0.42857142857142855;187;170;263;396
4;95;9;0.7777777777777778;0.7777777777777778;523;431;673;554
4;473;59;0.4067796610169492;0.1016949152542373;30;7;74;71
5;0;69;0.5507246376811594;0.08695652173913043;95;41;172;476
5;6;39;0.8461538461538461;0.1282051282051282;71;52;84;406
5;14;35;0.7428571428571429;0.02857142857142857;69;20;93;718
5;18;61;0.8688524590163934;0.04918032786885246;68;58;78;1186
5;117;17;0.47058823529411764;0.0;23;0;49;0
5;133;35;0.9142857142857143;0.0;85;0;93;0
5;138;87;0.3563218390804598;0.1724137931034483;16;14;45;83
5;146;44;0.22727272727272727;0.5227272727272727;10;41;47;80
5;161;1;0.0;0.0;0;0;0;0
5;624;23;0.21739130434782608;0.0;35;0;161;0
6;1;14;0.9285714285714286;0.0;113;0;122;0
6;5;35;0.8285714285714286;0.08571428571428572;22;2;27;25
6;13;31;0.6774193548387096;0.45161290322580644;25;20;37;45
6;14;24;0.5416666666666666;0.2916666666666667;19;30;35;106
6;40;33;0.9393939393939394;0.2727272727272727;139;32;148;119
6;53;15;0.8666666666666667;0.0;51;0;59;0
6;57;55;0.9818181818181818;0.0;53;0;54;0
6;61;2;0.5;0.0;19;0;39;0
6;62;112;0.6071428571428571;0.48214285714285715;38;31;63;66
6;63;218;0.48623853211009177;0.3073394495412844;48;57;99;186
6;64;59;0.5084745762711864;0.3898305084745763;35;112;69;288
6;99;23;0.9130434782608695;0.0;99;0;109;0
6;106;23;0.8695652173913043;0.0;256;0;295;0
6;112;18;0.6666666666666666;0.0;69;0;104;0
6;183;39;0.5641025641025641;0.2564102564102564;39;37;69;147
6;215;346;0.5751445086705202;0.49421965317919075;39;34;69;70
6;216;352;0.4772727272727273;0.4375;31;29;67;67
6;226;95;0.8210526315789474;0.5052631578947369;56;37;68;74
6;238;37;0.918918918918919;0.0;71;0;77;0
6;275;40;0.775;0.075;28;4;37;62
7;8;46;0.43478260869565216;0.0;42;0;98;0
7;992;64;0.03125;0.0;5;0;181;0
7;1640;11;0.18181818181818182;0.0;11;0;62;0
7;1643;2;0.0;0.0;0;0;0;0
7;1645;20;0.2;0.0;7;0;35;0
8;7;48;0.6458333333333334;0.6041666666666666;145;134;225;222
8;9;14;0.7857142857142857;0.5714285714285714;98;45;125;79
8;11;32;0.75;0.90625;68;86;91;95
9;8;15;0.8666666666666667;0.8;238;236;274;295
9;10;14;0.9285714285714286;0.8571428571428571;135;95;146;111
10;8;1;0.0;0.0;0;0;0;0
10;9;15;0.8666666666666667;0.8666666666666667;232;295;268;340
10;11;8;0.875;0.375;130;44;149;117
10;981;6;0.8333333333333334;0.5;159;82;191;165
11;8;32;0.875;0.8125;176;128;202;157
11;10;10;0.7;0.1;239;21;341;216
11;12;68;0.9117647058823529;0.5294117647058824;216;164;237;310
11;16;24;0.9583333333333334;0.9583333333333334;165;187;172;195
11;17;1;0.0;0.0;0;0;0;0
11;961;8;0.75;0.25;63;9;84;36
11;970;23;0.6086956521739131;0.0;71;0;116;0
11;981;6;0.6666666666666666;0.0;51;0;76;0
11;988;19;0.6842105263157895;0.0;73;0;108;0
12;11;69;0.8695652173913043;0.7971014492753623;160;111;185;139
12;13;54;0.8518518518518519;0.7962962962962963;244;209;287;263
12;623;16;0.8125;0.75;103;88;127;118
12;838;40;0.55;0.0;75;0;136;0
12;864;38;0.15789473684210525;0.0;4;0;31;0
12;954;15;0.8;0.0;60;0;75;0
12;955;24;0.4583333333333333;0.0;54;0;118;0
13;5;1;0.0;0.0;0;0;0;0
13;6;35;0.7714285714285715;0.8;131;162;171;202
13;12;53;0.8490566037735849;0.6981132075471698;114;84;135;120
13;14;61;0.8688524590163934;0.4098360655737705;173;153;199;374
13;73;36;0.9722222222222222;0.8333333333333334;102;120;105;144
13;385;19;0.7368421052631579;0.5789473684210527;160;126;218;218
13;409;37;0.8648648648648649;0.0;125;0;145;0
