Longitude,Latitude,Remark
9.733756,46.922368,Fideris
7.389462,47.191804,Grenchen
9.873959,48.577852,Amstetten (Württ)
7.589551,47.547405,Basel
7.395229,46.937482,Bern Bümpliz
6.838953,46.949588,Boudry TN
8.500049,47.114619,Lothenbach
8.500049,47.114619,Lothenbach (See)
9.132959,47.659618,Tägerwilen
5.992531,46.227068,Val-Thoiry
8.595545,47.409209,Wallisellen Glatt
8.595545,47.409209,Wallisellen Zentrum Glatt
7.498923,47.018936,Schönbühl
7.983699,46.359204,Blatten LBB
7.784182,46.939239,Langnau
7.555374,47.182924,Biberist
7.941564,47.555477,Bad Säckingen Friedrichstrasse
8.431886,49.006337,Karlsruhe Tullastr./VKB
7.927363,47.551197,Bad Säckingen Jurastrasse
7.841469,47.996765,Freiburg (D) Hauptbahnhof/ZOB
8.527189,49.003464,Berghausen Kirche
8.756199,47.207308,Freienbach
6.838953,46.949588,Boudry station TN
7.68936,47.196374,Bahn-2000-Strecke
8.603653,46.154371,Centovalli
8.435913,46.538322,Furka
7.773846,46.356888,Lötschberg-Basistunnel
7.717215,46.433756,Lötschberg-Bergstrecke
8.320797,47.07453,Rotsee
9.985688,46.808381,Vereina
8.805061,47.217327,Damm
8.591156,46.604329,Gotthard-Panoramastrecke
8.64444,46.652359,Oberalp
8.091198,46.276342,Simplon
10.237281,48.61995,Autobahn
11.397834,47.253332,Innsbruck Stubaitalbf Betrieb.
11.397834,47.253332,Innsbruck Stubaitalbf Pastor
8.765599,46.680773,Gotthard-Basistunnel
7.904318,47.401134,Hauenstein-Basistunnel
8.521961,47.351679,Zimmerberg-Basistunnel
7.106227,46.816918,Belfaux
7.151023,46.803268,Fribourg
7.892934,46.560533,Mürren
7.378476,46.967959,Hinterkappelen
9.811342,46.574006,Albulatunnel
8.296209,46.145484,Preglia Via Sempione
8.114832,45.980509,Varzo Stazione
8.430353,45.932237,Gravellona Toce stazione
8.412661,45.871857,Omegna staz. ferroviaria
8.414248,45.971169,Ornavasso staz. ferroviaria
8.260862,46.024418,Piedimulera staz. ferroviaria
8.283509,46.021614,Vogogna staz. ferroviaria
7.847774,47.704629,Zell (Wiesental)
8.098612,47.872369,Feldberg-Bärental
8.184728,47.893973,Titisee
7.959225,47.969294,Kirchzarten
7.663838,47.614431,Lörrach Hauptbahnhof
7.691378,47.624493,Lörrach-Stetten
7.843307,47.642995,Schopfheim
7.803227,47.639485,Maulburg
7.762099,47.637898,Steinen (D)
7.659646,47.551118,Grenzach (D)
7.589471,47.810828,Neuenburg (D)
7.884383,48.113116,Emmendingen Bahnhof
7.697833,47.919961,Bad Krozingen
7.625506,47.808078,Müllheim(Baden)
7.868706,47.673436,Hausen-Raitbach
7.695429,47.637075,Lörrach-Brombach
7.949867,47.55637,Bad Säckingen
7.900239,47.62475,Wehr-Brennet
7.616887,47.626429,Eimeldingen
7.595277,47.602965,Weil am Rhein Rebgartenweg
7.664443,47.601322,Lörrach Hauptstr.
7.585033,47.653454,Efringen-Kirchen
7.808091,48.147548,Riegel a. K. Bahnhof
7.841469,47.996765,Freiburg (Breisgau) Busbhf.
7.733965,48.585314,Strasbourg gare Routière
8.968983,47.735873,Radolfzell am Bodensee ZOB
11.592709,48.087034,München Hbf Nord
11.592709,48.087034,München Hbf Nord II
11.592709,48.087034,München Hbf Nord III
11.592709,48.087034,München Hbf Nord IV
8.71112,45.627214,Malpensa Aeroporto terminal 1
8.345058,45.989902,Anzola chiesa
8.131773,47.592235,Albbruck Papierfabrik
8.018724,47.553452,Murg (Baden)
8.07369,47.566163,Laufenburg (Baden) Ostbahnhof
8.218506,47.620729,Waldshut Busbahnhof
8.371879,48.504105,Baiersbronn Bahnhof
8.453916,49.492623,Mannheim Handelshafen
8.469818,49.480177,Mannheim Hauptbahnhof 1
8.29182,49.038937,Maximiliansau West
8.319998,48.805772,Gaggenau Bahnhof
8.255547,48.834662,Kuppenheim Bahnhof
8.190846,48.790329,Baden-Baden Bahnhof
8.69348,49.036898,Bretten Bahnhof
8.215649,48.86049,Rastatt Bahnhof
8.336739,48.768309,Gernsbach Bahnhof
9.067166,48.823907,Ditzingen Bahnhof
8.932209,48.774721,Renningen Bahnhof
9.319383,48.815531,Rommelshausen Bahnhof
9.12094,48.82678,Korntal Bahnhof
9.168685,48.829564,Stuttgart Zuffenhausen
9.526347,48.807145,Schorndorf (Württ) ZOB
8.547776,48.453711,Schopfloch (Freudenstadt) Bhf
8.864337,48.594061,Herrenberg ZOB/Bahnhofstrasse
9.984065,48.481944,Beimerstetten Bahnhofstrasse
8.345805,46.167254,Altoggio
8.11362,46.06012,Antronapiana
8.345715,45.989869,Anzola
8.319256,46.261501,Baceno
8.299276,46.079061,Beura Cardezza centro
8.21077,46.122297,Bognanco T. Villa Elda
8.261134,46.065653,Boschetto
8.362637,46.297878,Cadarese
8.286194,46.134018,Caddo
8.280416,46.091645,Calice
8.045859,45.969567,Campioli
8.411756,46.409183,Cascate del Toce
8.214886,46.020588,Castiglione
8.069922,45.971036,Ceppo Morelli
8.427875,46.353086,Chiesa (Val Formazza)
8.311827,46.096749,Cosasca di Trontano
8.232894,46.066405,Cresti
8.303433,46.156278,Crevoladossola
8.321316,46.214183,Crodo Bagni
8.323562,46.224016,Crodo paese
8.311941,46.11036,Croppo di Trontano
8.415831,45.899457,Crusinallo
8.414604,45.897812,Crusinallo stazione
8.372325,45.995014,Cuzzago bivio FS
8.279177,46.050632,Cuzzego di Cardezza
8.289519,46.123179,Domodossola Cappuccina
8.291514,46.125027,Domodossola Corso Cairoli 20
8.287075,46.118277,Domodossola Ospedale
8.292909,46.111648,Domodossola piazza Orsi Mose
8.291823,46.114967,Domodossola piazza Repubblica
8.27465,46.121275,Domodossola via di Vittorio
8.290579,46.122308,Domodossola via Sant'Antonio
8.284041,46.121161,Domodossola via Scappacino
8.296316,46.108671,Domodossola via Torino
8.28911,46.121005,Domodossola via Turati
8.490038,45.945918,Fondotoce (ex stab. Gewa)
8.425862,46.344566,Fondovalle
8.404346,46.33338,Foppiano
8.237229,46.121609,Gabbio
8.331623,46.158299,Giosio
8.241875,46.018896,Gozzi
8.435652,45.930814,Gravellona Toce crociera
8.430353,45.932237,Gravellona Toce bivio FS
8.431713,45.928996,Gravellona Toce via Sempione
8.564642,45.942218,Intra rimessa
8.134004,46.05244,Locasca
7.985094,45.962862,Macugnaga Borca
7.953363,45.972466,Macugnaga Pecetto
8.012674,45.959342,Macugnaga Pestarena
7.967501,45.968298,Macugnaga Staffa
8.14156,46.048255,Madonna (Valle d'Antrona)
8.712831,45.626322,Malpensa aeroporto
8.326237,46.136796,Masera
8.307941,45.99158,Megolo
8.307941,45.99158,Megolo Mezzo
8.395595,45.986812,Migiandone Bivio
8.32337,46.232132,Miramonti
8.275088,46.123647,Mocogna
8.185892,46.009908,Molini
8.326611,46.165382,Montecrestese
8.336532,46.169505,Nava
8.340763,46.159927,Naviledo
8.315782,46.174697,Oira
8.412661,45.871857,Omegna stazione
8.410911,45.873411,Omegna Ospedale
8.411004,45.876478,Omegna via de Amicis
8.414248,45.971169,Ornavasso
8.414248,45.971169,Ornavasso stazione
