Id;Label;Longitude;Latitude
0;Basel Bad Bf;7.607284;47.568147
1;Schaffhausen;8.632745;47.697859
2;Buchs SG;9.478425;47.1679
3;St. Margrethen;9.638251;47.453212
4;Chiasso;9.03144;45.832179
5;Basel SBB;7.590297;47.548285
6;Zürich HB;8.540192;47.378177
7;Interlaken Ost;7.869068;46.690317
8;Interlaken West;7.851747;46.683427
9;Därligen;7.814447;46.65979
10;Leissigen;7.774686;46.655011
11;Spiez;7.680397;46.686185
12;Thun;7.629896;46.755132
13;Bern;7.440209;46.948105
14;Olten;7.90692;47.351933
15;Brig;7.987841;46.319063
16;Visp;7.881458;46.294025
17;Frutigen;7.651193;46.589019
18;Liestal;7.731659;47.48432
19;Linthal;8.998073;46.925351
20;Linthal Braunwaldbahn;9.002483;46.928394
21;Rüti GL;9.013025;46.934548
22;Diesbach-Betschwanden;9.024362;46.946177
23;Luchsingen-Hätzingen;9.039008;46.965065
24;Leuggelbach;9.046924;46.975742
25;Nidfurn-Haslen;9.059258;46.985897
26;Schwanden GL;9.076911;46.996955
27;Mitlödi;9.081194;47.010129
28;Ennenda;9.076813;47.033395
29;Glarus;9.071462;47.039571
30;Netstal;9.059303;47.065331
31;Näfels-Mollis;9.069806;47.098497
32;Nieder- und Oberurnen;9.062809;47.121943
33;Ziegelbrücke;9.060037;47.136152
34;Rapperswil;8.81673;47.224888
35;Blumenau;8.842383;47.22367
36;Schmerikon;8.943411;47.225768
37;Uznach;8.980272;47.224515
38;Benken SG;9.008631;47.204457
39;Schänis;9.044646;47.157528
40;Sargans;9.444201;47.045826
41;Landquart;9.554909;46.967783
42;Chur;9.528925;46.85308
43;Bilten;9.029585;47.152268
44;Reichenburg;8.982692;47.17251
45;Schübelbach-Buttikon;8.938762;47.176384
46;Siebnen-Wangen;8.900524;47.18258
47;Lachen;8.852692;47.190069
48;Altendorf;8.822059;47.193032
49;Pfäffikon SZ;8.779045;47.202897
50;Freienbach SBB;8.756199;47.207308
51;Bäch;8.727163;47.20098
52;Richterswil;8.707687;47.207916
53;Wädenswil;8.674956;47.229367
54;Au ZH;8.644308;47.246514
55;Horgen;8.596974;47.261671
56;Oberrieden;8.579158;47.279426
57;Thalwil;8.565124;47.295909
58;Rüschlikon;8.553599;47.308182
59;Kilchberg;8.547999;47.324428
60;Zürich Wollishofen;8.530161;47.338442
61;Zürich Enge;8.531574;47.364128
62;Zürich Wiedikon;8.524189;47.371429
63;Zürich Oerlikon;8.54479;47.411496
64;Zürich Flughafen;8.563727;47.450441
65;Wallisellen;8.592534;47.41272
66;Dübendorf;8.623637;47.399731
67;Schwerzenbach ZH;8.659551;47.383985
68;Nänikon-Greifensee;8.686399;47.369359
69;Uster;8.716841;47.351188
70;Aathal;8.766474;47.335605
71;Wetzikon;8.792269;47.318034
72;Hinwil;8.840475;47.299448
73;Fribourg/Freiburg;7.151023;46.803268
74;Villars-sur-Glâne;7.116388;46.789826
75;Matran;7.096329;46.78893
76;Rosé;7.061968;46.782624
77;Neyruz;7.06503;46.766046
78;Cottens;7.034796;46.751208
79;Chénens;7.000432;46.749201
80;Villaz-St-Pierre;6.960639;46.720579
81;Romont;6.911814;46.693502
82;Payerne;6.939879;46.819639
83;Cugy FR;6.889162;46.816024
84;Estavayer-le-Lac;6.842958;46.844497
85;Cheyres;6.786393;46.816939
86;Yvonand;6.746686;46.800864
87;Yverdon-Champ Pittet;6.662317;46.78214
88;Yverdon-les-Bains;6.641145;46.781877
89;Corcelles-Sud;6.957185;46.828844
90;Cousset;6.977484;46.818601
91;Léchelles;7.01162;46.828449
92;Grolley;7.066052;46.831969
93;Belfaux CFF;7.106227;46.816918
94;Mendrisio;8.978602;45.869121
95;Lugano;8.946874;46.005506
96;Bellinzona;9.029508;46.195437
97;Arth-Goldau;8.548851;47.049424
98;Rotkreuz;8.430474;47.141759
99;Zug;8.515295;47.173624
100;Biel/Bienne;7.242908;47.132893
101;Neuchâtel;6.935705;46.996723
102;Lausanne;6.629093;46.516779
103;Oensingen;7.710015;47.285365
104;Solothurn;7.542684;47.204181
105;Grenchen Süd;7.398359;47.188668
106;Winterthur;8.723799;47.500334
107;Wil SG;9.041298;47.462756
108;Uzwil;9.13066;47.435818
109;Flawil;9.189982;47.414926
110;Gossau SG;9.253475;47.412003
111;St. Gallen;9.370282;47.422282
112;Aarau;8.051007;47.391861
113;Grenchen Nord;7.389806;47.191237
114;Moutier;7.381039;47.280667
115;Delémont;7.350053;47.362001
116;Renens VD;6.578938;46.537029
117;Laufen;7.502219;47.419006
118;Sion;7.359191;46.227546
